mni_x,mni_y,mni_z,x,y,z,roiNum,snum,abvr,lobe,isSideLeft
46.99995,0.5466350000000001,8.55262437207344,46.99995,0.5466350000000001,8.55262437207344,2024,71,PreCt_R,Frontal,0
44.38945,6.3620399999999995,22.8070853523313,44.38945,6.3620399999999995,22.8070853523313,2024,71,PreCt_R,Frontal,0
45.1717,9.66281,27.636477839676353,45.1717,9.66281,27.636477839676353,2024,71,PreCt_R,Frontal,0
25.2104,-20.76625,73.1603061346836,25.2104,-20.76625,73.1603061346836,2024,71,PreCt_R,Frontal,0
25.0785,48.007,-3.6917198551652746,25.0785,48.007,-3.6917198551652746,2027,74,RMFr_R,Frontal,0
27.4327,46.42945,-0.23759361667171497,27.4327,46.42945,-0.2375936166717149,2027,74,RMFr_R,Frontal,0
29.80235,46.2849,4.00436075328717,29.80235,46.2849,4.00436075328717,2027,74,RMFr_R,Frontal,0
32.6995,48.295500000000004,8.95374397033452,32.6995,48.2955,8.95374397033452,2027,74,RMFr_R,Frontal,0
37.084050000000005,50.830349999999996,14.042604528181101,37.084050000000005,50.83035,14.0426045281811,2027,74,RMFr_R,Frontal,0
8.431485,20.848599999999998,-5.00767451708043,8.431485,20.8486,-5.00767451708043,58,14,Acc_R,Subcortical,0
